,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
4952,ts281062,The Girl from Oslo,SHOW,2021,Not Available,33,thriller,NO,1.0,tt13968792,6.3,3141.0,9.423,7.3
4953,ts312071,The Way of the Househusband,SHOW,2021,TV-MA,18,drama,JP,1.0,tt13357124,7.3,3724.0,20.159,8.591
4954,ts302363,Twenty Five Twenty One,SHOW,2022,TV-14,76,drama,KR,1.0,tt17513352,8.7,5746.0,57.97,8.6
4955,ts308845,The Billion Dollar Code,SHOW,2021,TV-MA,67,drama,DE,1.0,tt15392100,8.0,8164.0,11.997,8.2
4957,ts304310,No Regrets In Life,SHOW,2022,Not Available,71,drama,TW,1.0,tt20859930,,,11.617,
4960,ts253813,Glória,SHOW,2021,TV-MA,44,thriller,PT,1.0,tt13064634,7.9,4126.0,5.98,7.0
4962,ts272980,The One,SHOW,2021,TV-MA,42,thriller,GB,1.0,tt13879466,6.6,12552.0,13.554,6.9
4967,ts294338,Hard Cell,SHOW,2022,TV-MA,26,comedy,GB,1.0,tt14959710,6.2,1568.0,2.936,5.8
4970,ts296825,Gone for Good,SHOW,2021,TV-MA,49,crime,FR,1.0,tt14252964,6.3,4083.0,4.375,6.0
4971,ts284702,This Is a Robbery: The World's Biggest Art Heist,SHOW,2021,TV-MA,53,crime,US,1.0,tt14223858,6.5,4328.0,5.515,6.9
4974,ts271595,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,2021,TV-MA,55,thriller,US,1.0,tt13837672,5.9,16799.0,18.971,7.2
4976,ts269881,Record of Ragnarok,SHOW,2021,TV-MA,24,thriller,JP,2.0,tt13676344,6.2,4923.0,168.41,8.629
4978,ts343599,Jimmy Savile: A British Horror Story,SHOW,2022,TV-MA,85,crime,GB,1.0,tt18970454,6.7,6536.0,3.341,6.8
4983,ts299874,Cocaine Cowboys: The Kings of Miami,SHOW,2021,TV-MA,57,crime,Not Available,1.0,tt15049206,7.1,2699.0,4.242,7.8
4986,ts340376,The Marked Heart,SHOW,2022,TV-MA,44,thriller,CO,2.0,tt18974572,6.4,1824.0,273.963,8.074
4987,ts310938,New Heights,SHOW,2021,TV-MA,48,drama,CH,1.0,tt15393644,6.7,525.0,8.664,7.9
4988,ts329700,Life After Death with Tyler Henry,SHOW,2022,TV-MA,43,reality,US,1.0,tt18217272,5.9,913.0,2.222,5.5
4989,ts349921,That’s My Time with David Letterman,SHOW,2022,TV-MA,18,comedy,US,1.0,tt20560428,6.7,140.0,1.868,7.0
4990,ts270405,Pretend It's a City,SHOW,2021,TV-14,29,comedy,US,1.0,tt13660958,8.1,7296.0,3.576,7.6
4992,ts192196,Q-Force,SHOW,2021,TV-MA,27,animation,US,1.0,tt10140028,6.3,5294.0,10.637,7.2
4996,ts297247,That Girl Lay Lay,SHOW,2021,TV-G,22,comedy,US,2.0,tt14442054,3.6,254.0,5.946,9.5
4998,ts271604,Blue Period,SHOW,2021,TV-14,25,animation,JP,1.0,tt14115912,7.7,1956.0,8.106,7.7
4999,ts341767,Kotaro Lives Alone,SHOW,2022,TV-14,27,comedy,JP,1.0,tt15490038,8.4,2281.0,13.897,6.9
5000,ts288744,The Sound of Magic,SHOW,2022,TV-14,69,drama,KR,1.0,tt14460684,7.7,2783.0,117.687,7.5
5004,ts273485,Baki Hanma,SHOW,2021,TV-MA,25,drama,JP,2.0,tt13357140,6.6,1685.0,211.093,8.049
5006,ts290643,Super Crooks,SHOW,2021,TV-MA,30,action,JP,1.0,tt14272628,7.1,2254.0,6.317,7.2
5008,ts313689,Our Beloved Summer,SHOW,2021,TV-14,61,drama,KR,1.0,,,,17.209,8.9
5011,ts313646,"Mom, Don't Do That!",SHOW,2022,TV-MA,53,romance,TW,1.0,tt21081098,6.5,87.0,116.074,9.0
5015,ts271867,Vincenzo,SHOW,2021,Not Available,81,romance,KR,1.0,tt13433812,8.4,16358.0,50.764,8.8
5019,ts288087,Sophie: A Murder in West Cork,SHOW,2021,TV-14,55,documentation,GB,1.0,tt14681732,6.8,5234.0,6.016,6.5
5021,ts314742,He-Man and the Masters of the Universe,SHOW,2021,TV-Y7,25,animation,US,3.0,tt11465278,5.8,1679.0,22.627,7.078
5024,ts333834,The Ultimatum: Marry or Move On,SHOW,2022,TV-MA,49,reality,US,1.0,tt18396952,5.4,1759.0,2.696,6.2
5025,ts237972,Katla,SHOW,2021,TV-MA,46,drama,IS,1.0,tt11102190,7.0,13472.0,52.807,7.2
5026,ts262246,The Last Bus,SHOW,2022,TV-PG,35,drama,GB,1.0,tt12885670,5.0,590.0,3.658,8.2
5028,ts313668,Tear Along the Dotted Line,SHOW,2021,TV-14,19,drama,IT,1.0,tt15614372,8.7,8053.0,24.559,8.3
5030,ts288489,Pretty Guardians Sailor Moon Eternal The Movie,SHOW,2021,TV-14,81,action,JP,1.0,tt10635042,,,19.654,9.6
5035,ts329854,Jump Like a Witch,SHOW,2022,TV-PG,92,reality,KR,1.0,,,,1.62,5.0
5036,ts104499,Trese,SHOW,2021,TV-MA,29,scifi,PH,1.0,tt9310336,7.0,3803.0,20.878,7.4
5037,ts321966,WWII in Color: Road to Victory,SHOW,2021,Not Available,51,war,GB,1.0,tt16477402,8.2,1684.0,8.514,7.9
5042,ts315611,Animal,SHOW,2021,TV-PG,46,documentation,US,2.0,tt15674216,7.9,1181.0,4.822,8.5
5044,ts297483,Hometown Cha-Cha-Cha,SHOW,2021,TV-14,78,comedy,KR,1.0,tt14518756,8.4,11060.0,40.151,8.2
5047,ts269676,History of Swear Words,SHOW,2021,TV-MA,21,documentation,US,1.0,tt13617060,6.4,4877.0,5.6,7.0
5048,ts304058,Ganglands,SHOW,2021,TV-MA,46,action,FR,1.0,tt13278100,7.0,2553.0,39.002,7.3
5051,ts273100,DOTA: Dragon's Blood,SHOW,2021,TV-MA,26,thriller,US,3.0,tt14069590,7.8,17848.0,29.69,8.0
5053,ts222864,Falling Into Your Smile,SHOW,2021,TV-14,44,drama,CN,1.0,tt11290960,8.4,2267.0,39.102,9.0
5054,ts265991,The Cook of Castamar,SHOW,2021,TV-MA,55,drama,ES,1.0,tt12626014,7.4,3807.0,11.161,7.1
5055,ts256311,High-Rise Invasion,SHOW,2021,TV-MA,26,thriller,JP,1.0,tt13357164,6.6,2575.0,37.817,8.4
5058,ts331680,Making Fun,SHOW,2022,TV-PG,41,reality,US,1.0,tt17737382,7.1,602.0,5.137,7.0
5061,ts244930,Angry Birds: Summer Madness,SHOW,2022,TV-Y7,14,family,US,2.0,tt12027896,5.8,620.0,17.106,7.3
5064,ts305264,School of Chocolate,SHOW,2021,TV-PG,40,reality,US,1.0,tt15172154,7.6,1721.0,2.468,7.2
5073,ts312984,Our Blues,SHOW,2022,TV-MA,66,drama,KR,1.0,tt19115260,8.5,1150.0,23.177,8.8
5074,ts352579,As the Crow Flies,SHOW,2022,TV-MA,46,comedy,TR,1.0,tt13323566,6.3,3039.0,7.481,7.9
5075,ts311791,The Raincoat Killer: Chasing a Predator in Korea,SHOW,2021,TV-MA,48,documentation,KR,1.0,tt15484900,6.4,2172.0,18.734,6.5
5076,ts304053,Countdown: Inspiration4 Mission to Space,SHOW,2021,TV-14,50,documentation,US,1.0,tt15166116,7.9,1857.0,6.054,6.7
5080,ts271025,Bling Empire,SHOW,2021,TV-MA,37,reality,US,2.0,tt13660962,5.8,3052.0,7.476,8.2
5083,ts287532,High on the Hog: How African American Cuisine Transformed America,SHOW,2021,TV-14,53,documentation,US,1.0,,,,3.237,8.0
5084,ts329885,Standing Up,SHOW,2022,TV-MA,47,comedy,FR,1.0,tt18260550,7.4,939.0,1.854,5.6
5086,ts306203,Monsters Inside: The 24 Faces of Billy Milligan,SHOW,2021,TV-MA,61,crime,Not Available,1.0,tt15287836,6.2,3397.0,16.88,7.2
5087,ts240807,Power Rangers Dino Fury,SHOW,2021,TV-Y7,21,drama,Not Available,2.0,tt12360292,6.7,515.0,19.16,
5088,ts291718,Pretty Smart,SHOW,2021,TV-14,24,comedy,US,1.0,tt14369056,5.8,4451.0,8.866,6.9
5089,ts271321,Beyond Evil,SHOW,2021,TV-MA,66,thriller,KR,1.0,tt13634872,8.1,3010.0,16.207,8.4
5090,ts319412,Forecasting Love and Weather,SHOW,2022,TV-14,66,drama,KR,1.0,tt15140592,7.1,1617.0,13.284,8.7
5092,ts287294,"Money, Explained",SHOW,2021,TV-14,23,documentation,US,1.0,tt14492910,6.9,2223.0,14.952,7.6
