,person_id,id,name,character,role,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
68,177866,ts20339,Yuriko Yamaguchi,Nico Robin (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
69,28164,ts20339,Ikue Otani,Tony Tony Chopper (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
70,58718,ts20339,Kazuki Yao,Franky (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
71,45306,ts20339,Cho,Brook (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
72,317973,ts20339,Katsuhisa Hôki,Jinbe (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
73,21514,ts20339,Tesshou Genda,Kaido (voice),ACTOR,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
74,1855091,ts5145,T.J. Lavin,Self - Host,ACTOR,The Challenge,SHOW,1998,TV-14,40,reality,US,37.0,tt6274074,7.8,3362.0,18.075,7.7
75,22311,ts34435,Koichi Yamadera,Spike Spiegel / Ein (voice),ACTOR,Cowboy Bebop,SHOW,1998,TV-14,25,animation,JP,1.0,tt0213338,8.9,115448.0,35.402,8.522
76,28180,ts34435,Unsho Ishizuka,Jet Black (voice),ACTOR,Cowboy Bebop,SHOW,1998,TV-14,25,animation,JP,1.0,tt0213338,8.9,115448.0,35.402,8.522
77,28166,ts34435,Megumi Hayashibara,Faye Valentine (voice),ACTOR,Cowboy Bebop,SHOW,1998,TV-14,25,animation,JP,1.0,tt0213338,8.9,115448.0,35.402,8.522
78,93017,ts34435,Aoi Tada,Edward Wong Hau Pepelu Tivruski IV (voice),ACTOR,Cowboy Bebop,SHOW,1998,TV-14,25,animation,JP,1.0,tt0213338,8.9,115448.0,35.402,8.522
79,340,ts20983,Megumi Ogata,Shinji Ikari (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
80,92708,ts20983,Kotono Mitsuishi,Misato Katsuragi (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
81,28166,ts20983,Megumi Hayashibara,Rei Ayanami (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
82,83426,ts20983,Yuko Miyamura,Asuka Langley Soryu (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
83,177866,ts20983,Yuriko Yamaguchi,Dr. Ritsuko Akagi (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
