,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
291,tm116324,Jackass: The Movie,MOVIE,2002,R,88,documentation,US,tt0322802,6.6,94423.0,25.23,6.3
292,tm39828,Semi-Pro,MOVIE,2008,R,94,european,US,tt0839980,5.8,82159.0,12.789,5.6
293,tm23935,The Lake House,MOVIE,2006,PG,99,thriller,US,tt0410297,6.8,149070.0,16.31,7.0
294,tm78067,The Girl Next Door,MOVIE,2007,R,91,horror,US,tt0830558,6.5,26293.0,13.131,6.7
295,tm95252,The Book of Eli,MOVIE,2010,R,118,action,US,tt1037705,6.8,314920.0,30.476,6.8
296,tm32919,Blood Diamond,MOVIE,2006,R,143,action,DE,tt0450259,8.0,541547.0,47.39,7.5
297,tm169949,Just Like Heaven,MOVIE,2005,PG-13,95,drama,US,tt0425123,6.7,108029.0,17.486,6.9
298,tm30205,Ip Man,MOVIE,2008,R,106,comedy,HK,tt1220719,8.0,222372.0,21.074,7.7
299,tm40009,21,MOVIE,2008,PG-13,123,drama,US,tt0478087,6.8,249016.0,27.013,6.7
300,tm141390,Friday the 13th,MOVIE,2009,R,97,horror,US,tt0758746,5.5,106970.0,45.551,5.8
302,tm94606,Let Me In,MOVIE,2010,R,116,drama,US,tt1228987,7.1,121008.0,22.791,6.8
304,tm102337,A Nightmare on Elm Street,MOVIE,2010,R,95,horror,US,tt1179056,5.2,99894.0,39.672,5.5
306,tm159901,Miss Congeniality 2: Armed and Fabulous,MOVIE,2005,PG-13,115,action,US,tt0385307,5.1,74637.0,21.495,5.7
307,tm74780,The Bucket List,MOVIE,2007,PG-13,97,drama,US,tt0825232,7.4,244028.0,22.0,7.2
310,tm24088,Scary Movie 4,MOVIE,2006,PG-13,83,comedy,US,tt0362120,5.1,120997.0,83.018,5.5
311,tm111600,The Sweetest Thing,MOVIE,2002,R,84,romance,US,tt0253867,5.1,58884.0,10.625,5.5
312,tm88045,How Do You Know,MOVIE,2010,PG-13,121,drama,US,tt1341188,5.4,50383.0,9.889,5.251
313,tm78919,Mr. Bean's Holiday,MOVIE,2007,G,90,family,US,tt0453451,6.4,125160.0,32.512,6.3
314,tm173066,The Interpreter,MOVIE,2005,PG-13,128,thriller,GB,tt0373926,6.4,106781.0,12.694,6.299
315,tm118637,John Q,MOVIE,2002,PG-13,116,crime,US,tt0251160,7.0,133215.0,32.229,7.121
316,tm142564,3 Idiots,MOVIE,2009,PG-13,170,comedy,IN,tt1187043,8.4,390739.0,44.999,8.0
317,tm57190,The One,MOVIE,2001,PG-13,87,action,US,tt0267804,5.9,92007.0,21.223,6.1
319,tm137362,The Texas Chainsaw Massacre,MOVIE,2003,R,98,horror,US,tt0324216,6.2,141736.0,80.47,6.2
321,tm148379,The Cat in the Hat,MOVIE,2003,PG,82,fantasy,US,tt0312528,4.0,82684.0,66.8,5.3
322,tm137342,Tears of the Sun,MOVIE,2003,R,121,war,US,tt0314353,6.6,121957.0,43.254,6.797
323,tm90864,Due Date,MOVIE,2010,R,95,drama,US,tt1231583,6.5,341390.0,36.06,6.3
325,tm32144,We Are Marshall,MOVIE,2006,PG,131,drama,US,tt0758794,7.0,61345.0,13.173,6.9
326,tm141707,Blood and Bone,MOVIE,2009,R,93,crime,US,tt0346631,6.7,33051.0,33.787,7.4
327,tm150214,Freddy vs. Jason,MOVIE,2003,R,97,horror,US,tt0329101,5.7,118925.0,65.747,6.0
328,tm81030,The Golden Compass,MOVIE,2007,PG-13,113,family,GB,tt0385752,6.1,187485.0,20.255,6.0
330,tm147211,The Men Who Stare at Goats,MOVIE,2009,R,94,war,US,tt1234548,6.2,132177.0,19.022,6.0
333,tm78671,Cleaner,MOVIE,2007,R,88,thriller,US,tt0896798,6.1,42285.0,11.509,6.0
336,tm27268,Monster House,MOVIE,2006,PG,91,fantasy,US,tt0385880,6.6,117008.0,51.891,6.6
337,tm86189,Good Luck Chuck,MOVIE,2007,Not Available,101,comedy,CA,tt0452625,5.6,90212.0,30.423,5.9
338,tm700,"10,000 BC",MOVIE,2008,PG-13,109,drama,US,tt0443649,5.1,130813.0,24.671,5.4
339,tm101249,Cop Out,MOVIE,2010,R,107,comedy,US,tt1385867,5.5,88026.0,13.63,5.6
340,tm161263,The Cave,MOVIE,2005,PG-13,97,thriller,DE,tt0402901,5.1,38734.0,13.695,5.3
341,tm81270,Starsky & Hutch,MOVIE,2004,PG-13,101,comedy,US,tt0335438,6.1,146880.0,13.938,5.8
342,tm89684,New York Minute,MOVIE,2004,PG,87,crime,US,tt0363282,4.9,23476.0,11.818,6.2
343,tm165593,Rumor Has It...,MOVIE,2005,PG-13,97,drama,US,tt0398375,5.5,58247.0,13.521,5.6
