,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
33,tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,Not Available,135,romance,IN,,tt3290368,4.6,14.0,0.62,6.0
34,tm16812,Bandie,MOVIE,1978,Not Available,141,romance,IN,,tt1219315,4.4,35.0,1.166,6.0
35,ts20681,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
36,tm155787,GoodFellas,MOVIE,1990,R,145,crime,US,,tt0099685,8.7,1131681.0,50.387,8.463
37,tm22327,Full Metal Jacket,MOVIE,1987,R,117,drama,US,,tt0093058,8.3,729274.0,32.937,8.1
38,tm180542,Once Upon a Time in America,MOVIE,1984,R,139,crime,US,,tt0087843,8.3,345714.0,28.937,8.453
39,tm138875,When Harry Met Sally...,MOVIE,1989,R,96,romance,US,,tt0098635,7.7,216199.0,15.123,7.4
40,tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,horror,US,,tt0087800,7.4,234068.0,48.358,7.3
41,tm133087,Steel Magnolias,MOVIE,1989,PG,119,drama,US,,tt0098384,7.3,54946.0,11.69,7.2
42,tm177480,Police Academy,MOVIE,1984,R,97,crime,US,,tt0087928,6.7,124881.0,25.533,6.6
43,tm54450,Christine,MOVIE,1983,R,110,thriller,US,,tt0085333,6.7,81922.0,23.418,6.8
44,ts22082,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
45,ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,action,GB,24.0,tt0086815,6.5,5104.0,42.196,6.5
46,ts20678,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
47,tm145608,Awakenings,MOVIE,1990,PG-13,120,drama,US,,tt0099077,7.8,139240.0,12.23,7.8
48,ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,family,US,39.0,tt0072584,6.7,3145.0,5.935,6.8
